id,title,release_date,developer,publisher,genres,multiplayer_or_singleplayer,price,percent_positive,win_support,mac_support,lin_support
10083,The Narrator Is a DICK,14-06-2016,Adam DeLease,Adam DeLease,Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,259,73%,1,1,1
10084,MochiMochi,12-09-2018,Kekitopu,Kekitopu,Casual;Indie,Single-player,42,100%,1,0,0
10085,Cosmos Crash VR,22-12-2016,"Viriver Network Technology Co., Ltd.","Viriver Network Technology Co., Ltd.",Casual;Indie,Single-player,165,90%,1,0,0
10086,Happiness Drops!,26-12-2017,ARES Inc.,ARES Inc.,Adventure;Casual;Indie,Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Leaderboards,199,85%,1,0,0
10087,Molemen Must Die!,21-03-2017,Mokomoto,Mokomoto,Action;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,85,92%,1,1,1
10088,Live,12-10-2017,empty assembly,empty assembly,Action;Indie,Single-player;Steam Achievements;Full controller support,85,84%,1,1,1
10089,Street Champ VR,08-12-2016,Zynk Software Srl,Zynk Software Srl,Action;Adventure;Simulation,Single-player;Steam Leaderboards,58,78%,1,0,0
10090,Pavilion,23-09-2016,Visiontrick Media,Visiontrick Media,Adventure;Indie,Single-player;Full controller support,369,100%,1,1,1
10091,CaptainMarlene,23-04-2019,Dnovel,Dnovel,Adventure;Indie;Early Access,Single-player,42,100%,1,0,0
10092,Empyrean,01-12-2016,Choice of Games,Choice of Games,Adventure;Indie;RPG,Single-player;Steam Achievements;Captions available;Steam Cloud,219,73%,1,1,1
10093,DARTHY,16-02-2016,"Collin, Kaleb, & Jeya",cwade games,Casual;Indie,Single-player;Steam Trading Cards,42,84%,1,0,0
10094,Link: The Unleashed Nexus,21-08-2015,Reminisce,Reminisce,Action;Indie;Racing,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,369,100%,1,0,0
10095,Memoir '44 Online,12-10-2011,Days of Wonder,Days of Wonder;Asmodee Digital,Casual;Simulation;Strategy,Single-player;Multi-player;Steam Achievements,Free to play,100%,1,0,0
10096,This Is Not A Jumping Game,23-02-2018,Heero,Heero,Action;Adventure;Casual;Indie,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,165,90%,1,0,0
10097,MechoEcho,18-05-2016,Resilient Games Ltd.,Resilient Games Ltd.,Indie;Simulation;Strategy,Single-player;Steam Achievements,349,89%,1,0,0
10098,Pier Solar and the Great Architects,29-09-2014,WaterMelon,WaterMelon,RPG,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Cloud,Free to play,100%,1,1,1
10099,Monochroma,28-05-2014,Nowhere Studios,Nowhere Studios,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,565,83%,1,1,1
10100,Puzzle One,13-07-2017,Portponky,Shambles Software,Casual;Indie,Single-player;Steam Workshop;Steam Leaderboards;Includes level editor,52,67%,1,0,1
10101,Shady Brook - A Dark Mystery Text Adventure,24-10-2016,Storycentric Worlds,Unimatrix Productions,Adventure;Casual;Indie;RPG,Single-player;Steam Achievements;Steam Trading Cards;Captions available,125,92%,1,0,0
